Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq	Is Cancer Gene (source: OncoKB)
CDKN2B		9p21.3	DEL	56	11.0%	Yes
CDKN2B-AS1		9p21.3	DEL	56	11.0%	No
CDKN2A		9p21.3	DEL	55	10.8%	Yes
CDKN2A-DT		9p21.3	DEL	51	10.0%	No
MTAP		9p21.3	DEL	45	8.8%	Yes
EGFR		7p11.2	AMP	39	7.6%	Yes
EGFR-AS1		7p11.2	AMP	38	7.4%	No
ELDR		7p11.2	AMP	37	7.2%	No
LOC100996654		7p11.2	AMP	34	6.7%	No
SEC61G		7p11.2	AMP	30	5.9%	No
DMRTA1		9p21.3	DEL	30	5.9%	No
MIR31HG		9p21.3	DEL	30	5.9%	No
LINC01239		9p21.3	DEL	29	5.7%	No
IFNA1		9p21.3	DEL	28	5.5%	No
IFNE		9p21.3	DEL	28	5.5%	No
IFNA8		9p21.3	DEL	27	5.3%	No
IFNA2		9p21.3	DEL	26	5.1%	No
IFNA5		9p21.3	DEL	26	5.1%	No
IFNA6		9p21.3	DEL	26	5.1%	No
IFNA13		9p21.3	DEL	26	5.1%	No
KLHL9		9p21.3	DEL	26	5.1%	No
PARP11		12p13.32	AMP	26	5.1%	No
CCND2		12p13.32	AMP	25	4.9%	Yes
CD4		12p13.31	AMP	25	4.9%	No
CD27		12p13.31	AMP	25	4.9%	No
CHD4		12p13.31	AMP	25	4.9%	Yes
FGF6		12p13.32	AMP	25	4.9%	Yes
GAPDH		12p13.31	AMP	25	4.9%	No
GNB3		12p13.31	AMP	25	4.9%	No
LAG3		12p13.31	AMP	25	4.9%	No
NOP2		12p13.31	AMP	25	4.9%	No
PTMS		12p13.31	AMP	25	4.9%	No
VAMP1		12p13.31	AMP	25	4.9%	No
TPI1		12p13.31	AMP	25	4.9%	No
FGF23		12p13.32	AMP	25	4.9%	Yes
USP5		12p13.31	AMP	25	4.9%	No
MLF2		12p13.31	AMP	25	4.9%	No
NCAPD2		12p13.31	AMP	25	4.9%	No
P3H3		12p13.31	AMP	25	4.9%	No
RAD51AP1		12p13.32	AMP	25	4.9%	No
IFFO1		12p13.31	AMP	25	4.9%	No
GPR162		12p13.31	AMP	25	4.9%	No
COPS7A		12p13.31	AMP	25	4.9%	No
ING4		12p13.31	AMP	25	4.9%	No
MRPL51		12p13.31	AMP	25	4.9%	No
TAPBPL		12p13.31	AMP	25	4.9%	No
C12ORF4		12p13.32	AMP	25	4.9%	No
TIGAR		12p13.32	AMP	25	4.9%	No
LPAR5		12p13.31	AMP	25	4.9%	No
CDCA3		12p13.31	AMP	25	4.9%	No
ACRBP		12p13.31	AMP	25	4.9%	No
SPSB2		12p13.31	AMP	25	4.9%	No
ZNF384		12p13.31	AMP	25	4.9%	Yes
PIANP		12p13.31	AMP	25	4.9%	No
SCARNA11		12p13.31	AMP	25	4.9%	No
CD27-AS1		12p13.31	AMP	25	4.9%	No
SCARNA10		12p13.31	AMP	25	4.9%	No
CD9		12p13.31	AMP	24	4.7%	No
ENO2		12p13.31	AMP	24	4.7%	No
IFNA22P		9p21.3	DEL	24	4.7%	No
LTBR		12p13.31	AMP	24	4.7%	No
NDUFA9		12p13.32	AMP	24	4.7%	No
SCNN1A		12p13.31	AMP	24	4.7%	No
TNFRSF1A		12p13.31	AMP	24	4.7%	No
VWF		12p13.31	AMP	24	4.7%	No
DYRK4		12p13.32	AMP	24	4.7%	No
LRRC23		12p13.31	AMP	24	4.7%	No
AKAP3		12p13.32	AMP	24	4.7%	No
PLEKHG6		12p13.31	AMP	24	4.7%	No
GSDMC		8q24.21	AMP	24	4.7%	No
PRMT8		12p13.32	AMP	24	4.7%	No
ANO2		12p13.31	AMP	24	4.7%	No
CRACR2A		12p13.32	AMP	24	4.7%	No
DSTNP2		12p13.31	AMP	24	4.7%	No
RPL13P5		12p13.31	AMP	24	4.7%	No
BOK		2q37.3	DEL	23	4.5%	No
ATN1		12p13.31	AMP	23	4.5%	No
DTYMK		2q37.3	DEL	23	4.5%	No
KCNA1		12p13.32	AMP	23	4.5%	No
KCNA5		12p13.32	AMP	23	4.5%	No
KCNA6		12p13.32	AMP	23	4.5%	No
PDCD1		2q37.3	DEL	23	4.5%	Yes
PTPN6		12p13.31	AMP	23	4.5%	Yes
PEX5		12p13.31	AMP	23	4.5%	No
CLSTN3		12p13.31	AMP	23	4.5%	No
LPCAT3		12p13.31	AMP	23	4.5%	No
EMG1		12p13.31	AMP	23	4.5%	No
PHB2		12p13.31	AMP	23	4.5%	No
ATG4B		2q37.3	DEL	23	4.5%	No
GALNT8		12p13.32	AMP	23	4.5%	No
THAP4		2q37.3	DEL	23	4.5%	No
FAM49B		8q24.21	AMP	23	4.5%	No
GAL3ST2		2q37.3	DEL	23	4.5%	No
RBP5		12p13.31	AMP	23	4.5%	No
ING5		2q37.3	DEL	23	4.5%	No
C12ORF57		12p13.31	AMP	23	4.5%	No
NEU4		2q37.3	DEL	23	4.5%	No
C1RL-AS1		12p13.31	AMP	23	4.5%	No
RTP5		2q37.3	DEL	23	4.5%	No
SCARNA12		12p13.31	AMP	23	4.5%	No
D2HGDH		2q37.3	DEL	23	4.5%	No
LINC01881		2q37.3	DEL	23	4.5%	No
BOK-AS1		2q37.3	DEL	23	4.5%	No
LINC01237		2q37.3	DEL	23	4.5%	No
GAU1		12p13.32	AMP	23	4.5%	No
LINC01238		2q37.3	DEL	23	4.5%	No
ADCY8		8q24.22	AMP	22	4.3%	No
C1R		12p13.31	AMP	22	4.3%	No
C1S		12p13.31	AMP	22	4.3%	No
CACNA1C		12p13.33	AMP	22	4.3%	No
ELAVL2		9p21.3	DEL	22	4.3%	No
FKBP4		12p13.33	AMP	22	4.3%	No
FOXM1		12p13.33	AMP	22	4.3%	No
HDLBP		2q37.3	DEL	22	4.3%	No
IFNA4		9p21.3	DEL	22	4.3%	No
IFNA7		9p21.3	DEL	22	4.3%	No
IFNA10		9p21.3	DEL	22	4.3%	No
IFNA14		9p21.3	DEL	22	4.3%	No
IFNA16		9p21.3	DEL	22	4.3%	No
IFNA17		9p21.3	DEL	22	4.3%	No
MYC		8q24.21	AMP	22	4.3%	Yes
NDUFB9		8q24.13	AMP	22	4.3%	No
SEPTIN2		2q37.3	DEL	22	4.3%	No
NTF3		12p13.31	AMP	22	4.3%	No
POU5F1B		8q24.21	AMP	22	4.3%	No
PPP1R7		2q37.3	DEL	22	4.3%	No
PVT1		8q24.21	AMP	22	4.3%	No
SQLE		8q24.13	AMP	22	4.3%	No
TULP3		12p13.33	AMP	22	4.3%	No
CD163		12p13.31	AMP	22	4.3%	No
MTSS1		8q24.13	AMP	22	4.3%	No
FARP2		2q37.3	DEL	22	4.3%	No
WASHC5		8q24.13	AMP	22	4.3%	No
TRIB1		8q24.13	AMP	22	4.3%	No
STK25		2q37.3	DEL	22	4.3%	No
TSPAN9		12p13.33-p13.32	AMP	22	4.3%	No
RNF139		8q24.13	AMP	22	4.3%	No
PASK		2q37.3	DEL	22	4.3%	Yes
SNED1		2q37.3	DEL	22	4.3%	No
ASAP1-IT1		8q24.21	AMP	22	4.3%	No
ANO7		2q37.3	DEL	22	4.3%	No
ASAP1		8q24.21-q24.22	AMP	22	4.3%	No
C1RL		12p13.31	AMP	22	4.3%	No
TRMT12		8q24.13	AMP	22	4.3%	No
ITFG2		12p13.33	AMP	22	4.3%	No
DEPTOR		8q24.12	AMP	22	4.3%	No
RHNO1		12p13.33	AMP	22	4.3%	No
NRIP2		12p13.33	AMP	22	4.3%	No
TATDN1		8q24.13	AMP	22	4.3%	No
MTERF4		2q37.3	DEL	22	4.3%	No
ZNF572		8q24.13	AMP	22	4.3%	No
TMEM65		8q24.13	AMP	22	4.3%	No
LINC00964		8q24.13	AMP	22	4.3%	No
LRATD2		8q24.21	AMP	22	4.3%	No
CD163L1		12p13.31	AMP	22	4.3%	No
ITFG2-AS1		12p13.33	AMP	22	4.3%	No
NSMCE2		8q24.13	AMP	22	4.3%	No
ACSM4		12p13.31	AMP	22	4.3%	No
TMEM75		8q24.21	AMP	22	4.3%	No
CASC8		8q24.21	AMP	22	4.3%	No
LINC00977		8q24.21	AMP	22	4.3%	No
LINC00861		8q24.13	AMP	22	4.3%	No
CCAT1		8q24.21	AMP	22	4.3%	No
ASAP1-IT2		8q24.21	AMP	22	4.3%	No
LOC100507424			AMP	22	4.3%	No
CACNA1C-AS1		12p13.33	AMP	22	4.3%	No
PCAT1		8q24.21	AMP	22	4.3%	No
CCAT2		8q24.21	AMP	22	4.3%	No
PRNCR1		8q24.21	AMP	22	4.3%	No
RNF139-AS1		8q24.13	AMP	22	4.3%	No
AGXT		2q37.3	DEL	21	4.1%	No
ANXA13		8q24.13	AMP	21	4.1%	No
AZU1		19p13.3	AMP	21	4.1%	No
CDK4		12q14.1	AMP	21	4.1%	Yes
CYP27B1		12q14.1	AMP	21	4.1%	No
CFD		19p13.3	AMP	21	4.1%	No
ARID3A		19p13.3	AMP	21	4.1%	Yes
ELANE		19p13.3	AMP	21	4.1%	No
EXT1		8q24.11	AMP	21	4.1%	Yes
HAS2		8q24.13	AMP	21	4.1%	No
KCNJ13		2q37.1	DEL	21	4.1%	No
KCNQ3		8q24.22	AMP	21	4.1%	No
METTL1		12q14.1	AMP	21	4.1%	No
TNFRSF11B		8q24.12	AMP	21	4.1%	No
PALM		19p13.3	AMP	21	4.1%	No
PEG3		19q13.43	DEL	21	4.1%	No
PRTN3		19p13.3	AMP	21	4.1%	No
PTBP1		19p13.3	AMP	21	4.1%	No
RAD52		12p13.33	AMP	21	4.1%	Yes
TSPAN31		12q14.1	AMP	21	4.1%	No
TEAD4		12p13.33	AMP	21	4.1%	No
MED16		19p13.3	AMP	21	4.1%	No
HHLA1		8q24.22	AMP	21	4.1%	No
COLEC10		8q24.12	AMP	21	4.1%	No
ZHX1		8q24.13	AMP	21	4.1%	No
U2AF2		19q13.42	DEL	21	4.1%	Yes
ZHX2		8q24.13	AMP	21	4.1%	No
EFR3A		8q24.22	AMP	21	4.1%	No
ZIM2		19q13.43	DEL	21	4.1%	No
GIGYF2		2q37.1	DEL	21	4.1%	No
UBE2S		19q13.42	DEL	21	4.1%	No
ATAD2		8q24.13	AMP	21	4.1%	No
CCDC106		19q13.42	DEL	21	4.1%	No
EPN1		19q13.42	DEL	21	4.1%	No
ZNF580		19q13.42	DEL	21	4.1%	No
ZNF581		19q13.42	DEL	21	4.1%	No
WDYHV1		8q24.13	AMP	21	4.1%	No
ZNF444		19q13.43	DEL	21	4.1%	No
NAT14		19q13.42	DEL	21	4.1%	No
ZNF471		19q13.43	DEL	21	4.1%	No
ZNF71		19q13.43	DEL	21	4.1%	No
ZNF667		19q13.43	DEL	21	4.1%	No
WNK1		12p13.33	AMP	21	4.1%	No
DERL1		8q24.13	AMP	21	4.1%	No
ZSCAN5A		19q13.43	DEL	21	4.1%	No
ADIPOR2		12p13.33	AMP	21	4.1%	No
ISOC2		19q13.42	DEL	21	4.1%	No
PLPPR3		19p13.3	AMP	21	4.1%	No
WNT5B		12p13.33	AMP	21	4.1%	No
KISS1R		19p13.3	AMP	21	4.1%	No
FIZ1		19q13.42	DEL	21	4.1%	No
C8ORF76		8q24.13	AMP	21	4.1%	No
FAM83A		8q24.13	AMP	21	4.1%	No
GALP		19q13.43	DEL	21	4.1%	No
ZNF628		19q13.42	DEL	21	4.1%	No
MED30		8q24.11	AMP	21	4.1%	No
ZNF835		19q13.43	DEL	21	4.1%	No
R3HDM4		19p13.3	AMP	21	4.1%	No
MARCH9		12q14.1	AMP	21	4.1%	No
CACNA2D4		12p13.33	AMP	21	4.1%	No
TBC1D31		8q24.13	AMP	21	4.1%	No
FBXO32		8q24.13	AMP	21	4.1%	No
AGAP2		12q14.1	AMP	21	4.1%	No
NLRP13		19q13.43	DEL	21	4.1%	No
NLRP8		19q13.43	DEL	21	4.1%	No
NLRP5		19q13.43	DEL	21	4.1%	No
ZNF787		19q13.43	DEL	21	4.1%	No
MISP		19p13.3	AMP	21	4.1%	No
ZFP28		19q13.43	DEL	21	4.1%	No
FBXL14		12p13.33	AMP	21	4.1%	No
SMIM17		19q13.43	DEL	21	4.1%	No
ZNF524		19q13.42	DEL	21	4.1%	No
ZNF784		19q13.42	DEL	21	4.1%	No
NLRP4		19q13.43	DEL	21	4.1%	No
ZNF542P		19q13.43	DEL	21	4.1%	No
ZNF582		19q13.43	DEL	21	4.1%	No
ZNF583		19q13.43	DEL	21	4.1%	No
FER1L6-AS2		8q24.13	AMP	21	4.1%	No
FAM91A1		8q24.13	AMP	21	4.1%	No
ZNF579		19q13.42	DEL	21	4.1%	No
SLC30A8		8q24.11	AMP	21	4.1%	No
NLRP11		19q13.42-q13.43	DEL	21	4.1%	No
VSTM2A		7p11.2	AMP	21	4.1%	No
SSC5D		19q13.42	DEL	21	4.1%	No
VSTM2A-OT1		7p11.2	AMP	21	4.1%	No
NLRP9		19q13.42	DEL	21	4.1%	No
KLHL38		8q24.13	AMP	21	4.1%	No
RFPL4A		19q13.42	DEL	21	4.1%	No
ZSCAN5B		19q13.43	DEL	21	4.1%	No
ZNF582-AS1		19q13.43	DEL	21	4.1%	No
ZNF470		19q13.43	DEL	21	4.1%	No
SAMD12		8q24.11-q24.12	AMP	21	4.1%	No
FER1L6-AS1		8q24.13	AMP	21	4.1%	No
SAMD12-AS1		8q24.12	AMP	21	4.1%	No
HAS2-AS1		8q24.13	AMP	21	4.1%	No
SBK2		19q13.42	DEL	21	4.1%	No
FER1L6		8q24.13	AMP	21	4.1%	No
OC90		8q24.22	AMP	21	4.1%	No
SHISA7		19q13.42	DEL	21	4.1%	No
RFPL4AL1		19q13.42	DEL	21	4.1%	No
MIMT1		19q13.43	DEL	21	4.1%	No
ZNF667-AS1		19q13.43	DEL	21	4.1%	No
SBK3		19q13.42	DEL	21	4.1%	No
FAM83A-AS1		8q24.13	AMP	21	4.1%	No
PEG3-AS1		19q13.43	DEL	21	4.1%	No
LINC00942		12p13.33	AMP	21	4.1%	No
ZNF865		19q13.42	DEL	21	4.1%	No
ZHX1-C8ORF76		8q24.13	AMP	21	4.1%	No
LINC01864		19q13.43	DEL	21	4.1%	No
ZIM2-AS1		19q13.43	DEL	21	4.1%	No
AP2A2		11p15.5	DEL	20	3.9%	No
APOBEC1		12p13.31	AMP	20	3.9%	No
KIF1A		2q37.3	DEL	20	3.9%	No
CD151		11p15.5	DEL	20	3.9%	No
CTSD		11p15.5	DEL	20	3.9%	No
DRD4		11p15.5	DEL	20	3.9%	No
DUSP8		11p15.5	DEL	20	3.9%	No
GPC1		2q37.3	DEL	20	3.9%	No
GPR35		2q37.3	DEL	20	3.9%	No
HRAS		11p15.5	DEL	20	3.9%	Yes
IFNA21		9p21.3	DEL	20	3.9%	No
IFNW1		9p21.3	DEL	20	3.9%	No
IL11		19q13.42	DEL	20	3.9%	No
IRF7		11p15.5	DEL	20	3.9%	No
KCNQ1		11p15.5-p15.4	DEL	20	3.9%	No
LSP1		11p15.5	DEL	20	3.9%	No
MUC2		11p15.5	DEL	20	3.9%	No
MUC6		11p15.5	DEL	20	3.9%	No
NDUFA10		2q37.3	DEL	20	3.9%	No
NINJ2		12p13.33	AMP	20	3.9%	No
CCN3		8q24.12	AMP	20	3.9%	No
ENPP2		8q24.12	AMP	20	3.9%	No
POLR2L		11p15.5	DEL	20	3.9%	No
POLRMT		19p13.3	AMP	20	3.9%	No
PSMD13		11p15.5	DEL	20	3.9%	No
RAD21		8q24.11	AMP	20	3.9%	Yes
KDM5A		12p13.33	AMP	20	3.9%	Yes
RNH1		11p15.5	DEL	20	3.9%	No
RPL28		19q13.42	DEL	20	3.9%	No
RPLP2		11p15.5	DEL	20	3.9%	No
SCT		11p15.5	DEL	20	3.9%	No
SLC2A3		12p13.31	AMP	20	3.9%	No
SLC6A12		12p13.33	AMP	20	3.9%	No
SLC6A13		12p13.33	AMP	20	3.9%	No
AURKC		19q13.43	DEL	20	3.9%	No
TAF2		8q24.12	AMP	20	3.9%	No
TALDO1		11p15.5	DEL	20	3.9%	No
TSPAN4		11p15.5	DEL	20	3.9%	No
TNNI2		11p15.5	DEL	20	3.9%	No
ZNF17		19q13.43	DEL	20	3.9%	No
RASSF7		11p15.5	DEL	20	3.9%	No
IFITM1		11p15.5	DEL	20	3.9%	No
EIF3H		8q23.3-q24.11	AMP	20	3.9%	No
BRSK2		11p15.5	DEL	20	3.9%	No
ZNF264		19q13.43	DEL	20	3.9%	No
HDAC4		2q37.3	DEL	20	3.9%	Yes
TSFM		12q14.1	AMP	20	3.9%	No
FSTL3		19p13.3	AMP	20	3.9%	Yes
IFITM3		11p15.5	DEL	20	3.9%	No
DEAF1		11p15.5	DEL	20	3.9%	No
IFITM2		11p15.5	DEL	20	3.9%	No
TRAPPC2B		19q13.43	DEL	20	3.9%	No
ZNF460		19q13.43	DEL	20	3.9%	No
OS9		12q13.3-q14.1	AMP	20	3.9%	No
CAPN10		2q37.3	DEL	20	3.9%	No
PKP3		11p15.5	DEL	20	3.9%	No
DENND3		8q24.3	AMP	20	3.9%	No
ERC1		12p13.33	AMP	20	3.9%	Yes
SIRT3		11p15.5	DEL	20	3.9%	No
EEF1AKMT3		12q14.1	AMP	20	3.9%	No
FGF22		19p13.3	AMP	20	3.9%	No
PHF20L1		8q24.22	AMP	20	3.9%	No
BET1L		11p15.5	DEL	20	3.9%	No
ANKMY1		2q37.3	DEL	20	3.9%	No
CEND1		11p15.5	DEL	20	3.9%	No
CDHR5		11p15.5	DEL	20	3.9%	No
TOLLIP		11p15.5	DEL	20	3.9%	No
PIDD1		11p15.5	DEL	20	3.9%	No
RNF126		19p13.3	AMP	20	3.9%	No
LANCL2		7p11.2	AMP	20	3.9%	No
PNPLA2		11p15.5	DEL	20	3.9%	No
RNPEPL1		2q37.3	DEL	20	3.9%	No
VN1R1		19q13.43	DEL	20	3.9%	No
ZNF304		19q13.43	DEL	20	3.9%	No
PHRF1		11p15.5	DEL	20	3.9%	No
USP29		19q13.43	DEL	20	3.9%	No
SIGIRR		11p15.5	DEL	20	3.9%	No
RIC8A		11p15.5	DEL	20	3.9%	No
EPS8L2		11p15.5	DEL	20	3.9%	No
CHID1		11p15.5	DEL	20	3.9%	No
DSCC1		8q24.12	AMP	20	3.9%	No
ZNF419		19q13.43	DEL	20	3.9%	No
SLC25A22		11p15.5	DEL	20	3.9%	No
MAB21L4		2q37.3	DEL	20	3.9%	No
PGGHG		11p15.5	DEL	20	3.9%	No
PTDSS2		11p15.5	DEL	20	3.9%	No
MOB2		11p15.5	DEL	20	3.9%	No
UTP23		8q24.11	AMP	20	3.9%	No
CCDC77		12p13.33	AMP	20	3.9%	No
BRSK1		19q13.42	DEL	20	3.9%	Yes
KMT5C		19q13.42	DEL	20	3.9%	No
SYT8		11p15.5	DEL	20	3.9%	No
ODF3		11p15.5	DEL	20	3.9%	No
ZIM3		19q13.43	DEL	20	3.9%	No
MAL2		8q24.12	AMP	20	3.9%	No
LRRC56		11p15.5	DEL	20	3.9%	No
ZNF543		19q13.43	DEL	20	3.9%	No
COX6B2		19q13.42	DEL	20	3.9%	No
TMEM71		8q24.22	AMP	20	3.9%	No
LOC143666		11p15.5	DEL	20	3.9%	No
SLC2A14		12p13.31	AMP	20	3.9%	No
SCGB1C1		11p15.5	DEL	20	3.9%	No
ZNF548		19q13.43	DEL	20	3.9%	No
TMEM190		19q13.42	DEL	20	3.9%	No
OTOS		2q37.3	DEL	20	3.9%	No
COPS9		2q37.3	DEL	20	3.9%	No
OR6B3		2q37.3	DEL	20	3.9%	No
LOC150935		2q37.3	DEL	20	3.9%	No
NLRP6		11p15.5	DEL	20	3.9%	No
LOC171391		11p15.5	DEL	20	3.9%	No
DCP1B		12p13.33	AMP	20	3.9%	No
LOC200772		2q37.3	DEL	20	3.9%	No
TOLLIP-AS1		11p15.5	DEL	20	3.9%	No
LMNTD2		11p15.5	DEL	20	3.9%	No
CRACR2B		11p15.5	DEL	20	3.9%	No
TMEM80		11p15.5	DEL	20	3.9%	No
B4GALNT3		12p13.33	AMP	20	3.9%	No
ZNF547		19q13.43	DEL	20	3.9%	No
TMEM150B		19q13.42	DEL	20	3.9%	No
FAM71E2		19q13.42	DEL	20	3.9%	No
DUSP28		2q37.3	DEL	20	3.9%	No
ANO9		11p15.5	DEL	20	3.9%	No
KRTAP5-AS1		11p15.5	DEL	20	3.9%	No
B4GALNT4		11p15.5	DEL	20	3.9%	No
GATD1		11p15.5	DEL	20	3.9%	No
ZNF773		19q13.43	DEL	20	3.9%	No
AQP12A		2q37.3	DEL	20	3.9%	No
KRTAP5-1		11p15.5	DEL	20	3.9%	No
KRTAP5-3		11p15.5	DEL	20	3.9%	No
KRTAP5-4		11p15.5	DEL	20	3.9%	No
IFITM5		11p15.5	DEL	20	3.9%	No
FAM99A		11p15.5	DEL	20	3.9%	No
TMEM238		19q13.42	DEL	20	3.9%	No
ZNF749		19q13.43	DEL	20	3.9%	No
OR6B2		2q37.3	DEL	20	3.9%	No
ZNF805		19q13.43	DEL	20	3.9%	No
ZNF772		19q13.43	DEL	20	3.9%	No
IFITM10		11p15.5	DEL	20	3.9%	No
KRTAP5-5		11p15.5	DEL	20	3.9%	No
KRTAP5-2		11p15.5	DEL	20	3.9%	No
KRTAP5-6		11p15.5	DEL	20	3.9%	No
IQSEC3		12p13.33	AMP	20	3.9%	No
AARD		8q24.11	AMP	20	3.9%	No
DUXA		19q13.43	DEL	20	3.9%	No
LOC574538		12p13.33	AMP	20	3.9%	No
SNORA52		11p15.5	DEL	20	3.9%	No
PRR21		2q37.3	DEL	20	3.9%	No
RAD21-AS1		8q24.11	AMP	20	3.9%	No
AQP12B		2q37.3	DEL	20	3.9%	No
SCGB1C2		17p13.3	DEL	20	3.9%	No
LRTM2		12p13.33	AMP	20	3.9%	No
FAM138D		12p13.33	AMP	20	3.9%	No
MUC5B		11p15.5	DEL	20	3.9%	No
LOC100130449		2q37.3	DEL	20	3.9%	No
AGAP2-AS1		12q14.1	AMP	20	3.9%	No
FAM99B		11p15.5	DEL	20	3.9%	No
LINC01001		11p15.5	DEL	20	3.9%	No
LINC00940		12p13.33	AMP	20	3.9%	No
WASH8P		12p13.33	AMP	20	3.9%	No
MIR210HG		11p15.5	DEL	20	3.9%	No
CACNA1C-AS4		12p13.33	AMP	20	3.9%	No
CACNA1C-IT3		12p13.33	AMP	20	3.9%	No
CAPN10-DT		2q37.3	DEL	20	3.9%	No
A1BG		19q13.43	DEL	19	3.7%	No
RHOG		11p15.4	DEL	19	3.7%	No
ASCL2		11p15.5	DEL	19	3.7%	No
HCN2		19p13.3	AMP	19	3.7%	No
BSG		19p13.3	AMP	19	3.7%	No
C3AR1		12p13.31	AMP	19	3.7%	No
CARS		11p15.4	DEL	19	3.7%	Yes
CD81		11p15.5	DEL	19	3.7%	No
CDKN1C		11p15.4	DEL	19	3.7%	No
FKBP1AP1		19q13.43	DEL	19	3.7%	No
GPR20		8q24.3	AMP	19	3.7%	No
IGF2		11p15.5	DEL	19	3.7%	Yes
INS		11p15.5	DEL	19	3.7%	No
NAP1L4		11p15.4	DEL	19	3.7%	No
NUP98		11p15.4	DEL	19	3.7%	Yes
SLC22A18		11p15.4	DEL	19	3.7%	No
SLC22A18AS		11p15.4	DEL	19	3.7%	No
PDGFRA		4q12	AMP	19	3.7%	Yes
PTK2		8q24.3	AMP	19	3.7%	No
PTPRH		19q13.42	DEL	19	3.7%	No
MRPL23		11p15.5	DEL	19	3.7%	No
RPS5		19q13.43	DEL	19	3.7%	No
RRM1		11p15.4	DEL	19	3.7%	No
ST3GAL1		8q24.22	AMP	19	3.7%	No
SLA		8q24.22	AMP	19	3.7%	No
SNTB1		8q24.12	AMP	19	3.7%	No
STIM1		11p15.4	DEL	19	3.7%	No
SYT5		19q13.42|11p	DEL	19	3.7%	No
TG		8q24.22	AMP	19	3.7%	No
TH		11p15.5	DEL	19	3.7%	No
TNNI3		19q13.42	DEL	19	3.7%	No
TNNT1		19q13.42	DEL	19	3.7%	No
PHLDA2		11p15.4	DEL	19	3.7%	No
COL14A1		8q24.12	AMP	19	3.7%	No
ZNF8		19q13.43	DEL	19	3.7%	No
MZF1		19q13.43	DEL	19	3.7%	No
ZNF132		19q13.43	DEL	19	3.7%	No
ZNF134		19q13.43	DEL	19	3.7%	No
ZNF135		19q13.43	DEL	19	3.7%	No
ZNF154		19q13.43	DEL	19	3.7%	No
CCN4		8q24.22	AMP	19	3.7%	No
UBE2M		19q13.43	DEL	19	3.7%	No
GDF3		12p13.31	AMP	19	3.7%	No
TSPAN32		11p15.5	DEL	19	3.7%	No
TSSC4		11p15.5	DEL	19	3.7%	No
CTDSP2		12q14.1	AMP	19	3.7%	No
TRIM28		19q13.43	DEL	19	3.7%	No
ZNF256		19q13.43	DEL	19	3.7%	No
NDRG1		8q24.22	AMP	19	3.7%	Yes
ZNF211		19q13.43	DEL	19	3.7%	No
KHDRBS3		8q24.23	AMP	19	3.7%	No
AVIL		12q14.1	AMP	19	3.7%	No
ZNF274		19q13.43	DEL	19	3.7%	No
KCNQ1OT1		11p15.5	DEL	19	3.7%	No
SLC27A5		19q13.43	DEL	19	3.7%	No
PTP4A3		8q24.3	AMP	19	3.7%	No
PPP6R1		19q13.42	DEL	19	3.7%	No
LRRC6		8q24.22	AMP	19	3.7%	No
HSPBP1		19q13.42	DEL	19	3.7%	No
NGEF		2q37.1	DEL	19	3.7%	No
ZNF324		19q13.43	DEL	19	3.7%	No
NECAP1		12p13.31	AMP	19	3.7%	No
CLEC4E		12p13.31	AMP	19	3.7%	No
MTBP		8q24.12	AMP	19	3.7%	No
AGO2		8q24.3	AMP	19	3.7%	Yes
CHMP2A		19q13.43	DEL	19	3.7%	No
ZNF544		19q13.43	DEL	19	3.7%	No
MRPL13		8q24.12	AMP	19	3.7%	No
C11ORF21		11p15.5	DEL	19	3.7%	No
TRPM5		11p15.5	DEL	19	3.7%	No
CLEC4A		12p13.31	AMP	19	3.7%	No
GP6		19q13.42	DEL	19	3.7%	No
IGF2-AS		11p15.5	DEL	19	3.7%	No
PPP1R12C		19q13.42	DEL	19	3.7%	No
ZNF586		19q13.43	DEL	19	3.7%	No
EPS8L1		19q13.42	DEL	19	3.7%	No
FAM90A1		12p13.31	AMP	19	3.7%	No
KCNQ1DN		11p15.4|11p15.5	DEL	19	3.7%	No
NLRP2		19q13.42	DEL	19	3.7%	No
ZNF416		19q13.43	DEL	19	3.7%	No
ZNF446		19q13.43	DEL	19	3.7%	No
FOXJ2		12p13.31	AMP	19	3.7%	No
SLC45A4		8q24.3	AMP	19	3.7%	No
WDR18		19p13.3	AMP	19	3.7%	No
ZFAT		8q24.22	AMP	19	3.7%	No
ZSCAN18		19q13.43	DEL	19	3.7%	No
CENPBD1P1		19q13.43	DEL	19	3.7%	No
MLPH		2q37.3	DEL	19	3.7%	No
ZNF329		19q13.43	DEL	19	3.7%	No
ZNF552		19q13.43	DEL	19	3.7%	No
ZNF671		19q13.43	DEL	19	3.7%	No
NANOG		12p13.31	AMP	19	3.7%	No
ZNF606		19q13.43	DEL	19	3.7%	No
EFHD1		2q37.1	DEL	19	3.7%	No
TRAPPC9		8q24.3	AMP	19	3.7%	No
ZBTB45		19q13.43	DEL	19	3.7%	No
ZNF587		19q13.43	DEL	19	3.7%	No
MGC16025		2q37.3	DEL	19	3.7%	No
ZNF551		19q13.43	DEL	19	3.7%	No
TMEM259		19p13.3	AMP	19	3.7%	No
HPYR1		8q24.22	AMP	19	3.7%	No
RDH13		19q13.42	DEL	19	3.7%	No
OSBPL5		11p15.4	DEL	19	3.7%	No
ZNF837		19q13.43	DEL	19	3.7%	No
GRIN3B		19p13.3	AMP	19	3.7%	No
MRGPRE		11p15.4	DEL	19	3.7%	No
